Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke/Haze,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?,Data Period,VIN Decoded,Make - Unknown,Automation Feature Version,Automation Feature Version CBI,Engagement Status,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Partly Cloudy,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Reason Not In Hub
30270-1,2,Waymo LLC,10-Day Update,,,JUL-2021,2C4RC1K76HR, ,,Chrysler,Pacifica, ,2017.0, ,27a8308e4525a57,34996.0, ,In-Vehicle (Commercial / Test),4th Generation ADS, , ,, , ,, , ,, , ,,, , ,,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JUL-2021, ,JUL-2021,15:10, ,c26d492ac568c12,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,,Y,Intersection,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , , ,Y, , ,Making Left Turn,No,Yes,Yes,,Y, , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"No update to narrative. Please refer to Waymo LLC Report - 202107[XXX]-0 (rev.202107[XXX]170406) submitted on July [XXX], 2021.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10148,1,Waymo LLC,Monthly,2.0,2025.0,MAR-2025,SADHW2S13R1, ,,Jaguar,I-PACE, ,2024.0, ,9df799516bace2a,36281.0, ,In-Vehicle and Remote (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,,Y, ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,16:13, ,eb89a7c26f836d3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35.0, ,Daylight, , ,Y, , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , , , , , , , ,Making Left Turn,No,No,Yes,2.0, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 4:13 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving an SUV on [XXX]. 
The Waymo AV was stopped at a red light in the far left turn lane on westbound [XXX] preparing to make a protected left turn onto [XXX].  As the light at [XXX] turned green, the Waymo AV began to advance through the intersection and came to a stop for a van that was blocking the intersection.  While the Waymo AV remained stopped, the front driver side of an SUV in the process of turning left onto Piedmont Avenue from the second from the left lane made contact with the rear passenger side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10288,1,Waymo LLC,5-Day,,,MAR-2025,SADHW2S1XM1, ,,Jaguar,I-Pace, ,2021.0, ,39cc9faced8effe,127084.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,15:17, ,d6961ff52ac2e77,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Bernardino, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Wet,"Other, see Narrative",15.0, ,Daylight, , , , ,Y, , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,21.0, , , , , , ,Y, ,Y, , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 3:17 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Bernardino, California was in a collision involving a portable metal barrier in a parking lot at [XXX]. 
The Waymo AV was in autonomous mode traveling west through a section of a parking lot at [XXX], which was being rented by Waymo for driver training and closed off to the public by portable metal barriers. While the Waymo AV was traveling west, the Waymo AV test driver transitioned to manual mode and began to accelerate forward towards a portal metal barrier separating a section of the parking lot. The test driver then began braking and the front and the passenger side of the Waymo AV made contact with the portable metal barrier. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV and the metal barrier sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10558,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S15R1, ,,Jaguar,I-Pace, ,2024.0, ,788a4eb8ba61f72,16934.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,14:32, ,5fbc5372ff3cbb0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Scottsdale, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,65.0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 2:32 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a piece of metal debris on [XXX] ([XXX]) just before Exit [XXX] to [XXX]. 
The Waymo AV was traveling north on [XXX] when its front driver side tire made contact with a piece of metal debris in the roadway and immediately deflated. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10596,2,Waymo LLC,Update,,,JUN-2025,L6T79P2N8PP, ,,Zeekr,CM1e, ,2023.0, ,9ad5fce3469754b,16932.0, ,In-Vehicle (Commercial / Test),6th Generation ADS, , ,6th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,Part 591 Exemption granted by permission letter from NHTSA,, , ,Yes (specify below),CA DMV,Yes,ADS,Waymo LLC, , , , , ,Y, , ,,APR-2025, ,APR-2025,12:54, ,8e7e78cafabfc2e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15.0, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Parked,No,No, , , , , ,Y, , , , , ,Backing,No,Yes,Yes,2.0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"Other than a correction to the model year and resubmitting without requesting Confidential Business Information treatment (consistent with Waymo's other SGO submissions), the content of this report is unchanged from the initial report submitted on April 30, 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On April [XXX], 2025 at 12:54 PM PT, a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was involved in a collision involving a passenger vehicle. The Waymo AV's Level 4 ADS was engaged until approximately two seconds before the collision.
The Waymo AV was traveling southeast through a narrow stretch of a parking lot when it reached a closed gate. It reversed along the same path and then began a multi-point turn to continue traveling northwest through the parking lot. Midway through executing this multi-point turn and while the Waymo AV was stationary, the Waymo AV was disengaged and then reversed into a parked passenger vehicle while in manual mode. The Waymo AV sustained minor damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10639,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S18M1, ,,Jaguar,I-Pace, ,2021.0, ,04f736aacb7513d,188700.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,07:41, ,fa8eb0357a82255,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,65.0, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , ,Y, , ,Stopped,No,Yes,Yes,0.0, ,Y, , ,Y, , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 7:41 AM MST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger car on [XXX] at an off-ramp onto [XXX]. 
The Waymo AV was stopped in a queue of traffic facing north on an off-ramp of [XXX] at the T-intersection with [XXX] in the leftmost right turn lane waiting for eastbound traffic to clear before proceeding to merge right onto [XXX]. The Waymo AV began to proceed forward once the vehicle ahead made its turn, then came to a stop as it moved forward onto [XXX]. A passenger car traveling directly behind the Waymo AV approached the Waymo AV from behind, and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver's seating position. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10642,2,Waymo LLC,10-Day Update,,,MAY-2025,SADHW2S13R1, ,,Jaguar,I-Pace, ,2024.0, ,e5b7eeb0f172bcb,32207.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,15:20, ,8a1786924262b79,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Passing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,Yes,Austin Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,Yes, ,"The content of this report is unchanged from the initial report submitted on May 4, 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On May [XXX], 2025 at 3:20 PM CDT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a SUV on [XXX] at [XXX]. 
The Waymo AV was traveling eastbound on [XXX] preparing to make a right turn onto [XXX]. The Waymo AV came to a stop prior to making the right turn while yielding to pedestrians in the crosswalk crossing [XXX]. While the Waymo AV was stopped, the SUV traveling behind the Waymo AV passed the Waymo AV on the left and the right rear of the SUV made contact with the left rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver's seating position. The SUV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10660,1,Waymo LLC,Monthly,5.0,2025.0,JUN-2025,SADHW2S13M1, ,,Jaguar,I-PACE, ,2021.0, ,f97408305266b85,151544.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,07:52, ,594c914927316a8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Portola Valley, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,53.0, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 7:52 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Portola Valley, California was in a collision involving a pickup truck tire on [XXX] near [XXX]. 
The Waymo AV was traveling northwestbound in the rightmost lane on [XXX] when the rear passenger side tire of a pickup truck traveling directly in front of the Waymo AV became dislodged and rolled into the barrier on the right edge of the roadway, then bounced off the barrier and into the Waymo AV's lane of travel. The Waymo AV activated its left turn signal and began to change lanes into the adjacent lane to the left and the test driver assumed manual control of the AV to move more aggressively to the left. As the AV was moving to the left, the tire made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged in autonomous mode due to the test driver assuming manual control 0.8s before impact. A test driver was present in the driver's seating position. The Waymo AV and the tire sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10837,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S10R1, ,,Jaguar,I-Pace, ,2024.0, ,667985e3549b9f4,10496.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,06:54, ,72018a3ed847e4a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,40.0, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Passing,No,No, , , , , , , , ,Y, , ,Stopped,No,Yes,Yes,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 6:54 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was in autonomous mode traveling northeast on [XXX] in the right lane. As the Waymo AV reached the intersection with [XXX], a dog entered the roadway from the southeast sidewalk. The Waymo AV began braking and then the test driver assumed manual control of the Waymo AV and continued braking. As the Waymo AV came to a stop, the dog continued to cross in front of the Waymo AV. A passenger car traveling behind the Waymo AV swerved to the left, and the front passenger side of the passenger car made contact with the rear driver side of the Waymo AV. Following the initial contact, the passenger car continued into the lane to the left of the Waymo AV, struck the dog, and then came to a stop in the left lane. The dog then left the scene. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10923,1,Waymo LLC,Monthly,5.0,2025.0,JUN-2025,SADHW2S15M1, ,,Jaguar,I-PACE, ,2024.0, ,890a843becef5c9,177518.0, ,In-Vehicle and Remote (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,16:53, ,2fd75d44c245ee1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,45.0, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Stopped,No,No, , , , , ,Y, , , , , ,Backing,No,No,Yes,3.0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 4:53 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing east on [XXX] for a stop sign at the intersection at [XXX], waiting for southbound traffic to clear before proceeding to turn right onto [XXX]. The Waymo AV began to enter [XXX], but came to a stop before the right turn was completed. The test driver assumed manual control of the Waymo AV and reversed, and the rear of the Waymo AV made contact with the front of a pickup truck stopped directly behind the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-10971,1,Waymo LLC,Monthly,5.0,2025.0,JUN-2025,SADHW2S13R1, ,,Jaguar,I-Pace, ,2024.0, ,c47347e2a1b42ed,39221.0, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,15:30, ,c0116c0a104d5d3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Washington, ,DC ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Bus,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Stopped,No,No,Yes,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 3:30 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Washington, DC was in a collision involving a bus on [XXX] near [XXX] NW.
The Waymo AV was traveling northwest in the right lane on [XXX], and stopped behind a bus that was parked at the curb directly in front of the Waymo AV. The bus then began to reverse and the test driver of the Waymo AV transitioned the Waymo AV to manual mode, and the rear of the bus made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"Prior to June 16, 2025 (Amendment 2)",,,,,,,,,,,,,,,,,,,,,,,,Likely excluded by Waymo hub methodology (pre-June 2025)
30270-11215,1,Waymo LLC,Monthly,6.0,2025.0,JUL-2025,SADHW2S19R1,,,JAGUAR,I-PACE, ,2024.0, ,0c1e9551cc957f9,,,In-Vehicle (Commercial / Test),,,,,,,,,,,,,,,,,,,,ADS,Waymo LLC, , ,Y, , , , ,,,JUN-2025, ,,21:22, ,d63b77ecc314557,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,, ,Miami, ,FL,, ,Street,,,,,,Y, , , , , ,,,,Passenger Car,Property Damage. No Injured Reported,,Proceeding Straight,,, , , , , , , ,Y, , , ,Passing,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,4.0, , , , , , ,Y, , , , , , , ,Y, ,Y, , , ,,Miami Police Department, ,,,,,,,,Yes, ,"On June [XXX], 2025 at 9:22 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Miami, Florida was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] in autonomous mode in the left lane when it approached a passenger car stopped in the left lane with its left turn signal activated at the intersection with [XXX]. The Waymo AV merged into the right lane to pass the passenger car and the test driver disengaged the Waymo AV's ADS as the Waymo AV began to merge back into the left lane. As the test driver attempted to merge in front of the passenger car, the passenger car proceeded straight and the passenger side of the passenger car made contact with the front driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,"After June 16, 2025 (Amendment 3)",Y, ,5th Generation ADS Version 10, ,Verified Not Engaged, , , , , , , ,Y, , , , , , , , , , ,Likely newer than hub update cycle (post-June 2025)
